Group,Outcome,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9,age_10,age_11,age_12,age_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22,age_23,age_24,age_25,age_26,age_27,age_28,age_29,age_30,age_31,age_32,age_33,age_34,age_35,age_36,age_37,age_38,age_39,age_40,age_41,age_42,age_43,age_44,age_45,age_46,age_47,age_48,age_49,age_50,age_51,age_52,age_53,age_54,age_55,age_56,age_57,age_58,age_59,age_60,age_61,age_62,age_63,age_64,age_65,age_66,age_67,age_68,age_69,age_70,age_71,age_72,age_73,age_74,age_75,age_76,age_77,age_78,age_79,age_80,age_81,age_82,age_83,age_84,age_85,age_86,age_87,age_88,age_89,age_90,age_91,age_92,age_93,age_94,age_95,age_96,age_97,age_98,age_99,
all,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-4.1568590499613034E-4,-0.0020371980381783407,-0.0057411314984994275,-0.012234648339357845,-0.021995081079207432,-0.03531149198373676,-0.052402859696183995,-0.07348408163457298,-0.09855025346259035,-0.1277415561655501,-0.16121554815434036,-0.1989816761385402,-0.24134912203578918,-0.28841436768687706,-0.34042694386285116,-0.3976705928263976,-0.46051456756807013,-0.5290546245376475,-0.6034379794314533,-0.6839275098695574,-0.7707458459293244,-0.8636906125103798,-0.9627279156143047,-1.0679100883329524,-1.179398024163932,-1.2973684032184112,-1.4220443954731796,-1.553738715348872,-1.692746836710369,-1.8393159637842746,-1.9937184247024178,-2.1562842571914462,-2.3273966666374224,-2.507387533225077,-2.696591877999064,-2.8954764637535386,-3.1043467707122674,-3.3234098496773172,-3.553012815099196,-3.7934656353695058,-4.0454752846671544,-4.3093561166675975,-4.5851853206867075,-4.873172855178626,-5.173706010729049,-5.4871013296423365,-5.813089605819465,-6.151617457985614,-6.502373564843967,-6.8650522536519905,-7.239320153506804,-7.624787426351611,-8.021037875803067,-8.427461712100445,-8.843611946092683,-9.268453674772987,-9.700921245313985,-10.139478845834844,-10.582600266788454,-11.028660135857773,-11.475765256286449,-11.921987872154174,-12.365173956274303,-12.802936474115166,-13.232849796276852,-13.651461142595483,-14.05540071217449,-14.441159474851135,-14.805818921802217,-15.146803757882854,-15.462391798082754,-15.751461312683576,-16.01372917916293,-16.249514216618746,-16.459650694758345,-16.64409331345477,-16.803648855897297,-16.939588353438747,-17.05360586069948,-17.147773060546424,-17.221125433262944,-17.277878427891693,-17.321478667292222,-17.354812276760978,-17.38003752532358,-17.398956193991182,-17.41298616802668,-17.423227196872485,-17.430573154378905,-17.435744253001033,-17.439338275616056,-17.44180741212174,-17.443472858126853,-17.444593085931153,-17.445343347780625,
Male,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-4.417799628038912E-4,-0.0021407617886757854,-0.006230346566637993,-0.013616331580048152,-0.02488125847032024,-0.040427568405923306,-0.06036278749137635,-0.08509672212430576,-0.11455788793926393,-0.14878456004657795,-0.18789019963582954,-0.23179980277829446,-0.280895744677295,-0.33515492648274925,-0.3947408907400143,-0.45998395515309376,-0.5312823098118082,-0.6087191380557255,-0.6923792088293115,-0.782548063839864,-0.8795110555383349,-0.9828248719537117,-1.0923638062058656,-1.2080443806153753,-1.3298940843506992,-1.4579857978659707,-1.592439626623036,-1.7334976026810176,-1.8813784609986803,-2.0362486385791327,-2.1983637011856554,-2.368043945700926,-2.5456562919890775,-2.7315417922716443,-2.926068259996797,-3.1297267313936348,-3.342859942164163,-3.5657510014788962,-3.7988531542879405,-4.042571320633472,-4.297688917773448,-4.564578337408718,-4.8433985634169385,-5.134484784592427,-5.438291620841121,-5.755153291925054,-6.084813806464439,-6.4272064110063,-6.782049188815505,-7.149047969676347,-7.5278371408078275,-7.918008553216047,-8.319106778534595,-8.730509290152845,-9.151796693809885,-9.581821359802607,-10.019420279772644,-10.46287989979251,-10.91052911987764,-11.360451407468705,-11.810431065269059,-12.258246386460575,-12.70139206273574,-13.137071822567831,-13.56247543870043,-13.973676459659316,-14.367081158667636,-14.739114569136122,-15.087053023588444,-15.40871072147142,-15.702904662716469,-15.969186322084743,-16.20795986512434,-16.42026309595803,-16.607655987479408,-16.770801298145248,-16.91124657594692,-17.03072542040036,-17.131115641088016,-17.214419063027776,-17.280178315489604,-17.331851793073113,-17.372172247378714,-17.403500876965833,-17.427583364653955,-17.445906514436402,-17.459606940793172,-17.469637067884413,-17.476806504590687,-17.481781968255305,-17.48517549651266,-17.487465732986536,-17.48896328286821,-17.489939071389934,-17.490577783180576,
Female,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-3.833431867305288E-4,-0.0019088342080108012,-0.005134765664698511,-0.01052209783784579,-0.018417760031201894,-0.02897028512492171,-0.042536793483485436,-0.059090599316160945,-0.07870932202212161,-0.10165945153519618,-0.12815320330794447,-0.1583046978121515,-0.1923323963180523,-0.23048099696239563,-0.2731066100669472,-0.32043524918129834,-0.37280030072224624,-0.430313105092225,-0.49319827866308935,-0.5616906076712955,-0.6359349798946857,-0.7160276534843432,-0.8020485334602953,-0.8942182858561449,-0.9928631544061324,-1.0982884754498985,-1.2108451640085243,-1.3309335429429114,-1.458944201444136,-1.5952244520306489,-1.7400673992335522,-1.893815154232171,-2.056871107776288,-2.2295557716155208,-2.412163521699207,-2.605131034704818,-2.808717613927764,-3.0230360383478114,-3.248301877184966,-3.484707409412619,-3.732864860551264,-3.9930166480708995,-4.265138579643857,-4.549285394875559,-4.845760931894805,-5.154859822384063,-5.476296481038613,-5.810034100954455,-6.1557249148568935,-6.513048993003298,-6.881712927228161,-7.261349575273325,-7.6515913674957785,-8.0518443010374,-8.461627183797033,-8.88004483376504,-9.306152267062405,-9.738633977173551,-10.176143341437896,-10.61741587099148,-11.0609580977898,-11.505206608290553,-11.948442776592882,-12.388786803832918,-12.824289756884212,-13.252085955445049,-13.669083147312518,-14.071854028335352,-14.457238590310032,-14.822178772477598,-15.164284087994663,-15.481598392542622,-15.772986692855536,-16.037876649964957,-16.276203048574118,-16.487042973450784,-16.670285054407277,-16.826626984916583,-16.957535061424867,-17.065167553283246,-17.147931346444942,-17.210980233798626,-17.25864565792734,-17.294464373389076,-17.321106036113036,-17.340762830666115,-17.355201268107532,-17.365703702675685,-17.373268451852976,-17.37868203350938,-17.38252456222376,-17.385215439379042,-17.387088987054515,-17.38838824255381,-17.389276766997522,
1970s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-3.484605978278488E-4,-0.0019263221075300008,-0.006075953647108627,-0.013820477801587806,-0.02646431840544667,-0.044067104382456444,-0.06665868967357874,-0.09459322099652152,-0.12800502465781075,-0.16701868656181956,-0.21153798240723645,-0.2613913672581327,-0.31724766435180196,-0.37897860450026816,-0.44691641039099717,-0.5214113429432934,-0.6029307291719264,-0.6917080015394507,-0.7882489046974113,-0.8933384345103109,-1.0072750931794237,-1.1295485397773626,-1.2598370542630406,-1.3980379958292317,-1.5442206112199075,-1.698464464695756,-1.8610439437455844,-2.0321981570195757,-2.2121684589064126,-2.401206357703232,-2.599557412749428,-2.8074803318076986,-3.025322370123467,-3.2533683557063786,-3.4918650021778315,-3.741137028065441,-4.001457910096558,-4.272902647113172,-4.55585130186867,-4.850417287025631,-5.157516886518085,-5.477239963839535,-5.809563590875011,-6.1546066405290665,-6.512445430992791,-6.883354925685343,-7.26678024735188,-7.66240534879835,-8.069585885081178,-8.487812892503538,-8.916528249182562,-9.355057194419526,-9.80269622394607,-10.258449452553403,-10.721517615204815,-11.190653311247631,-11.664359118238014,-12.141123367726339,-12.619182508699831,-13.096687091372184,-13.571807705063039,-14.0425948312588,-14.506795211278911,-14.962202631019206,-15.406664433895784,-15.837162731838088,-16.25052971239725,-16.643664780800286,-17.013890372562056,-17.359052835356284,-17.67764809153035,-17.96886897719971,-18.232554128641578,-18.469380862939264,-18.680249789625773,-18.865564048182694,-19.026163981325066,-19.163411591973688,-19.278904422976,-19.3748365314952,-19.450341764797642,-19.509404241418306,-19.555228719682457,-19.59065147215301,-19.61774843968342,-19.638287656399264,-19.653717308402733,-19.66508209936608,-19.673355266960968,-19.67926615055622,-19.683438050308474,-19.68633813674627,-19.688308881420024,-19.6896599564403,-19.690583775975274,
1980s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-5.042310901902667E-4,-0.002381344622137367,-0.006703002111457316,-0.014262476335759776,-0.025411165058573666,-0.04059514906002225,-0.05992557974787387,-0.08343394020382064,-0.11106449136962969,-0.14280042165550558,-0.17901465130525118,-0.21967544902134944,-0.2650676755266343,-0.3153682682522381,-0.37095707332722805,-0.43205197446649724,-0.4989818229528896,-0.5717955067336086,-0.6506166654080066,-0.7356964672512125,-0.8271013096789901,-0.9246693566120826,-1.0284012365046924,-1.1383714513850332,-1.2547905350112714,-1.3778394449942768,-1.5077323870386117,-1.6447741557236892,-1.7892328124763484,-1.9413975488511213,-2.101533223628166,-2.2699285451011573,-2.4469995889185583,-2.6330275363421305,-2.8283655269200274,-3.033477097943195,-3.248667583567397,-3.4741301353629157,-3.7101414075754415,-3.956983107445507,-4.215274723574948,-4.485426013466004,-4.767472927405602,-5.061642378789341,-5.368233724956611,-5.687687091028409,-6.019624513301107,-6.363978200159254,-6.72039677256831,-7.088564932211849,-7.468107473191621,-7.858562658948118,-8.259396700334522,-8.670186953519893,-9.090440646244826,-9.518965917882197,-9.954716241764448,-10.39606372213575,-10.84149384343496,-11.289403218671533,-11.737916659720952,-12.185176506228983,-12.629008534386855,-13.067094321751279,-13.496868231529334,-13.915011091785225,-14.318160643272272,-14.70291950449402,-15.066447790767732,-15.4062853883185,-15.720769841276212,-16.00868512433387,-16.26977265544952,-16.504422709907736,-16.713653708566856,-16.89739536585856,-17.056500704816465,-17.192130524931297,-17.306033192798036,-17.400272460393634,-17.473838863108444,-17.530881203320295,-17.574769282602688,-17.608368101561208,-17.633800433930787,-17.65287979626771,-17.667047822399734,-17.67742328859015,-17.684882208389844,-17.690136177668315,-17.6937842233195,-17.69629518269347,-17.69798175199386,-17.699111416479184,-17.699870339013476,
1990s,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-3.7904160022154E-4,-0.0018250297388643952,-0.0048491793070403215,-0.0099461895813662,-0.01730632463480204,-0.027204774558912872,-0.04003079972890252,-0.05607520454191541,-0.07530745774745,-0.09799521215715061,-0.12424875972738118,-0.15419301105417957,-0.18798901018062392,-0.22577583502618215,-0.2676648638208359,-0.31395943514103203,-0.36501426872898246,-0.420897177279283,-0.4816071837469329,-0.5471740280354225,-0.6179048167487902,-0.6937089295582659,-0.7746594965137686,-0.8608637328447134,-0.9524870091809703,-1.0497477620587732,-1.152852277651957,-1.2621534671241783,-1.3779928946545825,-1.500583610638323,-1.6302160766449427,-1.76728506021452,-1.91216526150099,-2.065249208987241,-2.2268989948753113,-2.397649718201163,-2.577821811062108,-2.7676942020701247,-2.967652692943278,-3.1781200400127014,-3.3997731657442487,-3.632957450103823,-3.877828091709935,-4.134624299560046,-4.403944909887895,-4.686031093190295,-4.9808294061958565,-5.288419302504428,-5.608674563832257,-5.941391155532884,-6.286371964951055,-6.643414339436683,-7.012325371220381,-7.392530967937249,-7.7837825557533105,-8.18526398030657,-8.596095151358337,-9.014799588647868,-9.439952181302408,-9.870014623049165,-10.303050346783731,-10.737088001788473,-11.170035043020444,-11.599368039730063,-12.022642016671416,-12.436100204143722,-12.83627336320035,-13.219377560895797,-13.582322344554104,-13.922248686278783,-14.23728751835435,-14.52624346795318,-14.78875815755718,-15.02492944278811,-15.235419790506175,-15.419995095747101,-15.579411165136708,-15.714981273003024,-15.828402628945737,-15.921696245208295,-15.993886412600409,-16.04934689255852,-16.09169529768572,-16.123857049329853,-16.148055777830567,-16.16609992436971,-16.17937513473769,-16.188992110448552,-16.195821603579468,-16.200586193872546,-16.203870879068486,-16.206108152295826,-16.20761585320547,-16.20862180976597,-16.209284959823872,
Age0-4,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.684019558140769E-4,-0.004745954916541151,-0.013374817151392151,-0.02850242752552881,-0.05124080292210613,-0.08032205028668622,-0.11493676579857742,-0.15444666092120293,-0.198366061368976,-0.2464506473000769,-0.29846632953384017,-0.35426852001645526,-0.4137941149227912,-0.47699442301260137,-0.5438511333877589,-0.6143389786134321,-0.6885358385894175,-0.7664801596052654,-0.8483426451210611,-0.9342041474042323,-1.0242925717726303,-1.1188192288638503,-1.217981995632926,-1.3220495941377184,-1.4312721826211598,-1.5459266522301085,-1.6662409790522745,-1.792581752678395,-1.9253059614385455,-2.064710325905906,-2.211087102187319,-2.3647900241848876,-2.5262070008322435,-2.695694746908169,-2.873679006384247,-3.0606015517519425,-3.256915796930746,-3.4630131419719885,-3.6792862773780053,-3.906217286195396,-4.144739720696385,-4.39526861162113,-4.6578614351679235,-4.932819806555632,-5.220873599720881,-5.522890089629124,-5.838536584073681,-6.167964572810757,-6.510829543793237,-6.866742142684077,-7.235527414218092,-7.616800449428864,-8.010084642065483,-8.414897939491043,-8.830918502467552,-9.256912761073606,-9.691757640763743,-10.13382093853298,-10.581445840010291,-11.032908289583498,-11.486150647094854,-11.939009487866679,-12.389236621282315,-12.834213152036467,-13.271405448098262,-13.697143962403622,-14.107953759127815,-14.50015145860534,-14.87074929329606,-15.217062931864346,-15.537357046437926,-15.830552535375517,-16.09639133179957,-16.33516390680958,-16.547829371572547,-16.73430618069879,-16.895327439913682,-17.0322007173126,-17.146695178374408,-17.240894674911225,-17.313799648647688,-17.369917090945062,-17.41275975958848,-17.445364255763717,-17.46986223665848,-17.488109936268053,-17.501554701882966,-17.51132024253804,-17.51826503618606,-17.52312978878234,-17.526487114812017,-17.528770214772397,-17.530304596589772,-17.531326785873528,-17.5320075318176,
Age5-9,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035243334418166797,-0.01296856426525297,-0.030400345255975247,-0.056680648811473035,-0.09284589789059015,-0.13718316672295636,-0.18849829729198123,-0.24609798630164312,-0.309474024257346,-0.3782135649253562,-0.45202072229881557,-0.5307655179678785,-0.614334562408031,-0.7026992752798532,-0.7958562936050592,-0.8938284855287439,-0.9967426767766903,-1.1047511573795357,-1.2180015933310313,-1.3367712928639954,-1.4612794792779875,-1.591856178644021,-1.7288683445715973,-1.8726280154476638,-2.023402562508283,-2.1814526523904636,-2.347150128207903,-2.520907874648747,-2.703086660824577,-2.893905030412041,-3.0939333779657088,-3.303360571093192,-3.5222098823083923,-3.750829334358853,-3.9894306086543434,-4.238315064827571,-4.497746482676729,-4.767933194157676,-5.049057038909189,-5.341393898180078,-5.6448705412135975,-5.959348986768095,-6.284774543778533,-6.620997816199353,-6.967898655164734,-7.325058550849293,-7.692300129542102,-8.069377201049479,-8.455544999403422,-8.850439725968467,-9.253279529601873,-9.663288428126895,-10.079073855135949,-10.499234800585047,-10.922331488234262,-11.346711098212376,-11.770727125942356,-12.192319751410134,-12.609385743763884,-13.019503371605884,-13.419338171276245,-13.805529517880625,-14.174720956263291,-14.524025581988546,-14.850980633886955,-15.153949681880102,-15.431652055495741,-15.683986667129984,-15.911144048560981,-16.113709400309084,-16.291614010317257,-16.445729062693992,-16.577187636331253,-16.687600240732777,-16.778935138169214,-16.850253568772544,-16.90543031272734,-16.94794309807075,-16.98045158058336,-17.00510566465674,-17.023622176547605,-17.037373198796132,-17.04740059499703,-17.05459589819204,-17.059637925595183,-17.0631358493694,-17.06555187561899,-17.06717659895649,-17.06826101773119,-17.068989219235945,
Age10-14,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035300244713826422,-0.012474001770237827,-0.029494932465656567,-0.05585748667898832,-0.09345168252472372,-0.14061950340215898,-0.19634972582923768,-0.25984742142554457,-0.3306615316868981,-0.40828801540751686,-0.49261215509474315,-0.583556447904566,-0.6811053894820092,-0.7852534091801827,-0.8961924673214283,-1.0141695351144075,-1.139432072249201,-1.2722084478845688,-1.4127797850348771,-1.5614352698891552,-1.7184854571793278,-1.8842708563297081,-2.0591638219912975,-2.2435718134473017,-2.437857178554562,-2.6423869862996403,-2.857470576075196,-3.083298618800712,-3.32017224379964,-3.5683780414458663,-3.8283386719253105,-4.1003732224195675,-4.3845014991606694,-4.680970174369183,-4.989925049325664,-5.311207249528196,-5.644584840131077,-5.9898642728591165,-6.3467112681409965,-6.71499421421326,-7.094253135865232,-7.484083980059164,-7.884089690141333,-8.293690128375163,-8.712460983918326,-9.139444302927597,-9.573479656134,-10.013080466522082,-10.45696242294857,-10.90357284201816,-11.351088803690782,-11.797684650415388,-12.241202049908813,-12.679320431270018,-13.109709784339037,-13.528921323744324,-13.933670902205291,-14.320525581368894,-14.686551342543183,-15.029070510337254,-15.346344798922457,-15.637254035206954,-15.901182292842664,-16.13846778463575,-16.350019181468426,-16.535812690510085,-16.696667803569298,-16.833908494894867,-16.949163067761184,-17.044630898068238,-17.11927644398057,-17.177200262642177,-17.221869693338462,-17.25614592255215,-17.28222873765984,-17.30187576407352,-17.316513880106758,-17.327217166591897,-17.334943000809165,-17.340408366957462,-17.344242817736244,-17.34688058636687,-17.348663602610678,-17.349878581907763,-17.35069212630783,
Age15-20,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00461493854489591,-0.017644047989944192,-0.04083080010248808,-0.07530454263602844,-0.12327480101775463,-0.18570379885852353,-0.2604853199,-0.3465821394579119,-0.44333282425029996,-0.5504089196746127,-0.6675346250743565,-0.7947153898252997,-0.9321266520553966,-1.0798752805935319,-1.2379769822861524,-1.406615490689387,-1.585970490446793,-1.7763774087313666,-1.9779517965914792,-2.190915787298948,-2.41576993566218,-2.6525694889636484,-2.901298921839337,-3.162229289843652,-3.435354811623849,-3.721737806673799,-4.0214731601460265,-4.334557723335203,-4.660931163459915,-5.000466335496918,-5.353104674660416,-5.718503402449677,-6.09619061610407,-6.485720318685178,-6.886509387064533,-7.2980599931910515,-7.719643119856519,-8.150720632737423,-8.590488263024735,-9.037968899378315,-9.492202680326722,-9.951946173562344,-10.415651678170233,-10.881663429195148,-11.34825244353373,-11.813529289933223,-12.275671918631598,-12.732655699842208,-13.182229721675125,-13.622155949417417,-14.049420730660495,-14.460837714850044,-14.853064941351532,-15.22335573770989,-15.56940397333796,-15.88940819852513,-16.182376329546155,-16.448084742387458,-16.687117544163865,-16.900249798123813,-17.08755263359453,-17.24992849303377,-17.388696130274212,-17.505548661718315,-17.60252530600066,-17.678813717017427,-17.73847221758429,-17.784676845303917,-17.820270303895143,-17.847449110421515,-17.868049228241983,-17.88346460694619,-17.894851138048434,-17.903128769164166,-17.909028616729003,-17.913163095504,-17.916046902368706,-17.918011403930656,-17.919355234826742,-17.920263674402484,
brain,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-8.320389515695572E-4,-0.0043159375794065155,-0.011155465618026493,-0.02255776373905706,-0.03887277998386889,-0.06113684539088482,-0.08992826586558263,-0.126450758678373,-0.1709168340291459,-0.2238169912311419,-0.2856591216054319,-0.3560894373753838,-0.4355161315582212,-0.5239678489046989,-0.6217212997499627,-0.7287845483632217,-0.8457057818720882,-0.9724246398763894,-1.1086825566315304,-1.2543512019818366,-1.4099307836438313,-1.575288455001551,-1.7503769933568007,-1.9352217203770952,-2.1300840696577974,-2.3351406877438077,-2.5505830224282673,-2.776778223041073,-3.0140038247836873,-3.2625986392554047,-3.5227518657486825,-3.7947671443142426,-4.0789094739212315,-4.375499804626595,-4.684879357605831,-5.008417072637532,-5.346027477681911,-5.697523104844474,-6.062869802605474,-6.442379089792753,-6.837111838758025,-7.2468016224228835,-7.670620630880339,-8.108281426272308,-8.559907206573683,-9.0244871331166,-9.501194184092823,-9.989343111557016,-10.488022110726467,-10.99645365693262,-11.51350100081943,-12.038448601723093,-12.57038541133872,-13.108191764385795,-13.650984807112165,-14.197609982383536,-14.746450105327416,-15.295766631884991,-15.84392893247198,-16.38902173696904,-16.92893888201989,-17.461748469312514,-17.985320774247167,-18.49719351017313,-18.995141741402723,-19.475508666291624,-19.93492019801219,-20.369783775557387,-20.77709024849788,-21.154850104012468,-21.501607718291478,-21.816664184350934,-22.100270566071462,-22.35343640799192,-22.57764341564987,-22.773310164753543,-22.9416761872393,-23.084322320949564,-23.203320110916145,-23.30112407187337,-23.37704044390087,-23.435541873034346,-23.480433192649535,-23.514671275813672,-23.540471437356537,-23.559820753446335,-23.574174418996826,-23.584636881821094,-23.592156816398948,-23.597467088138018,-23.601152738894186,-23.603693720223703,-23.605390290236347,-23.606536332629602,-23.607294255007673,
bone,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-9.621040588184737E-5,-3.7238795521694445E-4,-8.716198564823224E-4,-0.0018919217034939814,-0.00382637354332377,-0.007001183221585107,-0.012070045474441984,-0.01966372082393216,-0.02995433478144738,-0.04408622478644867,-0.06304468277208473,-0.08860304536952969,-0.12144828081569994,-0.16214390938937598,-0.21142562056365344,-0.27126392297323904,-0.34303086085657625,-0.42662950823316154,-0.5221912971472488,-0.6295564874902005,-0.7489498775885246,-0.8788920867154681,-1.0186097959346028,-1.167743896076129,-1.3260419143106215,-1.4935701725104877,-1.6702839109052448,-1.8563934537510076,-2.051973100260045,-2.2572409020627506,-2.472321302922458,-2.697475413831352,-2.9328795512750387,-3.178915736392427,-3.4356375072819865,-3.7030693565272146,-3.981418727353688,-4.270704151502361,-4.571050468212752,-4.88248038164667,-5.2053536522909125,-5.53970272923387,-5.885404626959253,-6.242534098942364,-6.611103366130856,-6.990800112093196,-7.381554006914152,-7.782981038631548,-8.19468677533569,-8.61616818722539,-9.0470383702803,-9.486763859100936,-9.934838393908237,-10.390597174190054,-10.853289869327462,-11.322015659038907,-11.795594265166361,-12.272839228123406,-12.752224002144896,-13.232496547057567,-13.711686003509769,-14.188243285273842,-14.660332357978984,-15.125596621412496,-15.581468378507298,-16.024787061106625,-16.452291182408395,-16.86035819916527,-17.246063415226825,-17.60684420245464,-17.94091000381848,-18.24687660680814,-18.524267344520833,-18.773480194794068,-18.995449163442757,-19.190162268045373,-19.358496912639808,-19.501815770994455,-19.622030562998575,-19.72144599256504,-19.798984789354876,-19.8589519339635,-19.905074751104863,-19.94046515177449,-19.96727503239375,-19.987562742031425,-20.002614894787857,-20.013654269188887,-20.02165179511545,-20.027281690934124,-20.03125590626952,-20.03395491642989,-20.035788299409745,-20.037021289516478,-20.037859744921874,
sts,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-4.694567550201025E-4,-0.0023570594657812247,-0.006372064540024667,-0.01262965193637215,-0.021719332181256466,-0.034016093160463313,-0.049834955841419656,-0.06963472566807974,-0.09362119400834197,-0.12190798378928153,-0.15490233633274056,-0.1928612013292404,-0.23633975474736377,-0.2860269661505805,-0.3422302062287769,-0.4054010462737956,-0.4758765746859698,-0.5538198332842287,-0.6399080780487661,-0.7345449409949196,-0.8381758418900365,-0.9505019781281603,-1.0713140273961277,-1.2007301412776923,-1.338980884999151,-1.4861042143668164,-1.6422174527247757,-1.8074717808848624,-1.982101008057186,-2.1663863941783754,-2.3606502526256152,-2.565165064769688,-2.7803641912678514,-3.0065925090597854,-3.244033846052479,-3.492961256980863,-3.7541690119055415,-4.027555934191265,-4.3136268669067865,-4.612539032942715,-4.924949119777757,-5.251189868147236,-5.591456881688191,-5.945952916585477,-6.3146591185987955,-6.697470848352411,-7.094041095895649,-7.504119740938918,-7.927125554032817,-8.362801900968446,-8.810258151068119,-9.268918910659119,-9.738064979567767,-10.216973315349547,-10.70481034461346,-11.200420814865746,-11.702449773590915,-12.208835070085057,-12.717777721092041,-13.22761181839305,-13.735979944741397,-14.24086951826834,-14.73957968070307,-15.229947897990261,-15.709315960677078,-16.174105145475988,-16.620837843830504,-17.04548284993799,-17.44514860446714,-17.81726512733997,-18.160440811191386,-18.473459128966475,-18.756075208313565,-19.009410021402935,-19.23452643259448,-19.43160565593285,-19.60170638008686,-19.746239930181595,-19.86722901608224,-19.967098258233428,-20.044943579461368,-20.105261235831357,-20.15158608529486,-20.187029675892376,-20.21403751783492,-20.23435181451218,-20.24944113112792,-20.26045507260814,-20.268378020082057,-20.274029088274744,-20.27796124362384,-20.28072747986404,-20.28257772055189,-20.283828294742886,-20.284691542107083,
solid,CumHealthyLY,0.0,0.0,0.0,0.0,0.0,-0.001200752492600568,-0.00426841217952004,-0.010227169005853173,-0.019607385060294972,-0.032752667456460126,-0.050013672144014774,-0.07211939153256096,-0.09898381408979899,-0.13036667854582476,-0.16616803862508459,-0.2062189762397471,-0.2503878444019375,-0.29871036835285736,-0.35106452208251465,-0.4076154501626679,-0.46852342752174125,-0.534174211990638,-0.6045310795417282,-0.6795180033360207,-0.7594971169741617,-0.8445214771362174,-0.9347999297983937,-1.0305533366687611,-1.1321270293598036,-1.2397452870018606,-1.3538854173522983,-1.4748402143253774,-1.6030758292725094,-1.7389709134694769,-1.8829189015799508,-2.0353991041779556,-2.196854392791827,-2.3678510051843316,-2.5490003011082756,-2.7407730151164755,-2.943680137759752,-3.158239551342015,-3.3850335637876325,-3.624624252271839,-3.8776247763045095,-4.144723082947007,-4.426453001836904,-4.7231716908212364,-5.035442865587957,-5.363518231341681,-5.707544750352401,-6.067587538245558,-6.443481512720358,-6.835241525696211,-7.242558181825102,-7.665172727781467,-8.102713320237545,-8.554471024093,-9.020041045641078,-9.498513126830584,-9.988610947119609,-10.489001664351623,-10.997634863946093,-11.512589137927861,-12.0316572719991,-12.552481831135001,-13.072465773108908,-13.58868626085374,-14.09794664083756,-14.597195733014415,-15.082276775630824,-15.548867394071543,-15.99306394640199,-16.411442657475575,-16.800954498435132,-17.15977417001524,-17.48684211004492,-17.781946290614563,-18.045786770285186,-18.279533688537526,-18.4836152393639,-18.658875912258434,-18.807059144853046,-18.930281533011808,-19.031172220366376,-19.108943799373012,-19.168426791095403,-19.213629284201836,-19.24783475019175,-19.273449984415993,-19.29245306061132,-19.30639766810475,-19.316508811463567,-19.32371668136321,-19.328755507314632,-19.332251229758338,-19.334626446198826,-19.336208650956607,-19.33724982724242,-19.337947434315325,
